id,date,time,amount,card,id_merchant
487,1/5/2018 6:27,1/5/2018 6:27,4.6,4.15984E+18,48
2077,1/5/2018 7:19,1/5/2018 7:19,1.36,3.4412E+14,30
314,1/5/2018 10:42,1/5/2018 10:42,5.31,3.56107E+15,8
77,1/5/2018 16:58,1/5/2018 16:58,4.57,5.13584E+15,91
1570,1/6/2018 1:43,1/6/2018 1:43,10.04,5.50071E+15,34
2439,1/6/2018 2:16,1/6/2018 2:16,1.33,4.86676E+18,127
2258,1/6/2018 4:43,1/6/2018 4:43,5.31,5.29719E+15,42
1867,1/6/2018 5:13,1/6/2018 5:13,10.82,4.86676E+18,70
846,1/6/2018 6:46,1/6/2018 6:46,2.7,2.13194E+14,146
2890,1/6/2018 7:00,1/6/2018 7:00,18.35,3.56195E+15,76
3291,1/6/2018 8:42,1/6/2018 8:42,18.72,3.53565E+15,76
2557,1/6/2018 8:49,1/6/2018 8:49,16.28,4.26849E+15,101
325,1/6/2018 23:33,1/6/2018 23:33,7.6,3.76028E+14,141
2663,1/7/2018 0:30,1/7/2018 0:30,17.84,4.15984E+18,112
3457,1/7/2018 1:10,1/7/2018 1:10,175,3.4412E+14,12
447,1/7/2018 7:33,1/7/2018 7:33,7.07,4.83448E+15,14
1249,1/7/2018 10:31,1/7/2018 10:31,10.9,5.29719E+15,135
2108,1/7/2018 14:57,1/7/2018 14:57,2.93,4.31965E+12,137
3028,1/7/2018 15:10,1/7/2018 15:10,17.29,4.86676E+18,126
149,1/7/2018 16:50,1/7/2018 16:50,5.83,4.15984E+18,81
2304,1/7/2018 20:35,1/7/2018 20:35,2.5,6.01199E+15,104
1384,1/8/2018 0:26,1/8/2018 0:26,10.04,3.58135E+15,64
1371,1/8/2018 1:12,1/8/2018 1:12,10.4,5.50071E+15,121
1291,1/8/2018 2:34,1/8/2018 2:34,1029,3.58135E+15,145
1065,1/8/2018 4:15,1/8/2018 4:15,11.49,4.74104E+12,130
1340,1/8/2018 4:29,1/8/2018 4:29,10.64,5.01809E+11,116
1544,1/8/2018 6:27,1/8/2018 6:27,10.48,4.02791E+15,68
522,1/8/2018 10:48,1/8/2018 10:48,11.06,4.7432E+18,113
812,1/8/2018 11:15,1/8/2018 11:15,333,3.4412E+14,95
1640,1/8/2018 11:21,1/8/2018 11:21,11.98,5.50071E+15,133
2550,1/8/2018 11:35,1/8/2018 11:35,15.84,4.15072E+15,15
2095,1/8/2018 14:06,1/8/2018 14:06,3.52,1.80099E+14,95
3130,1/8/2018 16:38,1/8/2018 16:38,21.27,5.29719E+15,106
3085,1/8/2018 19:31,1/8/2018 19:31,17.43,5.84227E+11,19
1816,1/8/2018 20:10,1/8/2018 20:10,11.55,3.4412E+14,102
3480,1/8/2018 21:44,1/8/2018 21:44,1.68,4.6819E+12,78
1188,1/8/2018 21:44,1/8/2018 21:44,10.64,5.17595E+15,84
379,1/9/2018 11:14,1/9/2018 11:14,7.07,5.01809E+11,136
687,1/9/2018 21:06,1/9/2018 21:06,2.7,4.50641E+15,67
2558,1/9/2018 21:43,1/9/2018 21:43,16.37,4.6819E+12,64
754,1/10/2018 0:25,1/10/2018 0:25,1.39,3.72415E+14,50
608,1/10/2018 3:17,1/10/2018 3:17,0.87,5.03843E+11,129
2818,1/10/2018 3:24,1/10/2018 3:24,16.64,3.56195E+15,65
865,1/10/2018 3:55,1/10/2018 3:55,2.3,4.15072E+15,19
998,1/10/2018 10:07,1/10/2018 10:07,10.91,6.75911E+11,78
1436,1/10/2018 13:41,1/10/2018 13:41,11.5,3.51711E+15,49
1938,1/10/2018 14:50,1/10/2018 14:50,5.64,5.36178E+15,44
602,1/10/2018 15:56,1/10/2018 15:56,1.22,5.03843E+11,27
3289,1/10/2018 19:53,1/10/2018 19:53,18.41,4.15984E+18,23
1361,1/10/2018 23:03,1/10/2018 23:03,10.7,3.53565E+15,70
496,1/11/2018 0:39,1/11/2018 0:39,3.23,5.03843E+11,68
156,1/11/2018 9:27,1/11/2018 9:27,5.55,6.01199E+15,107
315,1/11/2018 9:38,1/11/2018 9:38,7.94,5.13584E+15,146
3498,1/11/2018 9:58,1/11/2018 9:58,1.62,5.50071E+15,149
3331,1/11/2018 10:51,1/11/2018 10:51,1.24,3.00633E+13,7
2128,1/11/2018 12:46,1/11/2018 12:46,3.97,4.83448E+15,44
2188,1/11/2018 13:20,1/11/2018 13:20,229,5.5706E+15,115
1716,1/11/2018 16:18,1/11/2018 16:18,10.27,5.36178E+15,46
2146,1/11/2018 19:36,1/11/2018 19:36,1.72,4.76105E+18,99
2779,1/11/2018 22:55,1/11/2018 22:55,19.5,4.26849E+15,8
1048,1/12/2018 2:18,1/12/2018 2:18,11.52,3.5822E+15,2
2170,1/12/2018 2:48,1/12/2018 2:48,1.84,3.0143E+13,2
2025,1/12/2018 4:33,1/12/2018 4:33,5.32,4.18816E+15,10
451,1/12/2018 6:34,1/12/2018 6:34,6.19,3.0182E+13,40
444,1/12/2018 13:30,1/12/2018 13:30,5.92,4.50641E+15,38
416,1/12/2018 13:59,1/12/2018 13:59,4.45,5.01809E+11,85
291,1/12/2018 16:29,1/12/2018 16:29,4.69,4.26849E+15,144
3373,1/12/2018 18:04,1/12/2018 18:04,1.88,4.6819E+12,44
270,1/12/2018 22:14,1/12/2018 22:14,6.4,4.27647E+12,112
1937,1/12/2018 23:38,1/12/2018 23:38,1.1,4.50641E+15,64
2835,1/13/2018 2:02,1/13/2018 2:02,17.12,3.76028E+14,2
3175,1/13/2018 3:06,1/13/2018 3:06,16.27,4.26849E+15,24
450,1/13/2018 3:20,1/13/2018 3:20,4.89,2.13194E+14,58
2222,1/13/2018 4:49,1/13/2018 4:49,3.63,4.50641E+15,53
2755,1/13/2018 6:07,1/13/2018 6:07,19.24,4.96292E+18,32
582,1/13/2018 14:36,1/13/2018 14:36,1.35,4.15072E+15,102
1546,1/13/2018 15:22,1/13/2018 15:22,10.15,4.71177E+15,108
718,1/13/2018 18:34,1/13/2018 18:34,2.22,4.26369E+15,9
3445,1/13/2018 22:18,1/13/2018 22:18,2.11,3.0143E+13,3
2386,1/13/2018 22:26,1/13/2018 22:26,3.79,5.50071E+15,106
2843,1/14/2018 3:20,1/14/2018 3:20,14.69,5.84227E+11,133
3023,1/14/2018 5:02,1/14/2018 5:02,17.84,3.72415E+14,52
2879,1/14/2018 6:19,1/14/2018 6:19,21.11,3.53565E+15,74
830,1/14/2018 7:06,1/14/2018 7:06,3.15,5.84227E+11,96
2521,1/14/2018 7:33,1/14/2018 7:33,15.21,4.74104E+12,21
1482,1/14/2018 7:50,1/14/2018 7:50,10.23,3.76028E+14,38
1916,1/14/2018 10:04,1/14/2018 10:04,12.33,4.16531E+18,55
1560,1/14/2018 13:30,1/14/2018 13:30,10.94,3.51711E+15,19
3159,1/14/2018 15:03,1/14/2018 15:03,16.67,2.13194E+14,30
604,1/14/2018 15:31,1/14/2018 15:31,1.42,3.76028E+14,97
970,1/14/2018 17:29,1/14/2018 17:29,10.31,4.50641E+15,40
3359,1/15/2018 3:37,1/15/2018 3:37,1.47,4.83448E+15,139
2787,1/15/2018 6:23,1/15/2018 6:23,15.87,4.53999E+15,70
2622,1/15/2018 10:27,1/15/2018 10:27,15.51,4.76105E+18,8
1382,1/15/2018 11:52,1/15/2018 11:52,11.67,4.15984E+18,139
3105,1/15/2018 11:55,1/15/2018 11:55,17.16,3.56195E+15,101
2581,1/15/2018 19:37,1/15/2018 19:37,18.61,3.56195E+15,74
591,1/15/2018 20:53,1/15/2018 20:53,2.95,4.6819E+12,98
2714,1/16/2018 0:57,1/16/2018 0:57,15.33,4.50641E+15,149
3333,1/16/2018 2:26,1/16/2018 2:26,1.65,3.72415E+14,31
3068,1/16/2018 3:22,1/16/2018 3:22,13.29,5.29719E+15,12
3065,1/16/2018 4:12,1/16/2018 4:12,16.89,4.71177E+15,109
2655,1/16/2018 6:29,1/16/2018 6:29,17.64,6.75911E+11,136
2866,1/16/2018 8:02,1/16/2018 8:02,17.36,3.00783E+13,116
680,1/16/2018 13:48,1/16/2018 13:48,1.84,4.26849E+15,144
1755,1/16/2018 13:51,1/16/2018 13:51,13.52,4.15984E+18,54
753,1/16/2018 18:45,1/16/2018 18:45,1.48,4.96292E+18,86
665,1/16/2018 19:19,1/16/2018 19:19,2.55,3.4412E+14,99
3278,1/17/2018 0:03,1/17/2018 0:03,18.05,4.2791E+18,133
651,1/17/2018 0:18,1/17/2018 0:18,3.6,4.15984E+18,44
246,1/17/2018 0:22,1/17/2018 0:22,5.41,4.7432E+18,105
2971,1/17/2018 2:02,1/17/2018 2:02,15.18,2.13194E+14,75
2875,1/17/2018 4:56,1/17/2018 4:56,16.46,3.76028E+14,42
758,1/17/2018 6:36,1/17/2018 6:36,1.02,1.80099E+14,147
1551,1/17/2018 6:59,1/17/2018 6:59,10,4.58696E+18,149
1889,1/17/2018 7:31,1/17/2018 7:31,12.67,4.498E+12,89
1593,1/17/2018 7:56,1/17/2018 7:56,11.91,4.6819E+12,2
30,1/17/2018 9:09,1/17/2018 9:09,3.82,4.71177E+15,111
733,1/17/2018 9:25,1/17/2018 9:25,2.85,3.56195E+15,18
878,1/17/2018 11:09,1/17/2018 11:09,12.27,3.76028E+14,146
3340,1/17/2018 15:02,1/17/2018 15:02,1.72,4.498E+12,115
105,1/17/2018 16:57,1/17/2018 16:57,1.25,4.26849E+15,65
840,1/17/2018 19:16,1/17/2018 19:16,2.11,4.26849E+15,132
2314,1/17/2018 20:06,1/17/2018 20:06,2.69,3.56107E+15,29
3466,1/18/2018 3:12,1/18/2018 3:12,3.44,3.4412E+14,5
2633,1/18/2018 8:18,1/18/2018 8:18,17.54,4.16531E+18,104
2838,1/18/2018 8:58,1/18/2018 8:58,17.53,1.80099E+14,137
3406,1/18/2018 11:17,1/18/2018 11:17,1.24,3.0182E+13,116
2662,1/18/2018 12:41,1/18/2018 12:41,15.86,4.31965E+12,43
2119,1/18/2018 14:13,1/18/2018 14:13,2.61,3.76028E+14,26
3095,1/18/2018 14:39,1/18/2018 14:39,19,5.0188E+11,15
1303,1/18/2018 18:49,1/18/2018 18:49,10.19,4.15984E+18,116
2882,1/19/2018 1:11,1/19/2018 1:11,16.38,5.50071E+15,82
784,1/19/2018 1:34,1/19/2018 1:34,2.59,4.72378E+18,47
1410,1/19/2018 3:01,1/19/2018 3:01,10.39,4.498E+12,132
2956,1/19/2018 5:03,1/19/2018 5:03,17.53,4.96292E+18,82
3381,1/19/2018 7:08,1/19/2018 7:08,2.51,4.6819E+12,8
2253,1/19/2018 10:15,1/19/2018 10:15,3.93,4.76105E+18,13
2015,1/19/2018 11:41,1/19/2018 11:41,3.27,2.13194E+14,124
1183,1/19/2018 12:28,1/19/2018 12:28,10.4,1.80099E+14,60
917,1/19/2018 13:15,1/19/2018 13:15,10.16,3.53565E+15,81
679,1/19/2018 14:23,1/19/2018 14:23,2.47,4.15072E+15,131
458,1/19/2018 17:44,1/19/2018 17:44,5.96,6.50024E+15,138
1245,1/19/2018 20:12,1/19/2018 20:12,11.58,4.86676E+18,132
2238,1/20/2018 1:13,1/20/2018 1:13,3.7,5.36178E+15,107
2411,1/20/2018 2:23,1/20/2018 2:23,2.17,4.26369E+15,109
1954,1/20/2018 3:18,1/20/2018 3:18,3.38,3.00633E+13,93
2791,1/20/2018 3:19,1/20/2018 3:19,17.64,3.00783E+13,37
302,1/20/2018 4:32,1/20/2018 4:32,4.51,5.01809E+11,83
1266,1/20/2018 7:47,1/20/2018 7:47,10.58,3.0143E+13,34
1456,1/20/2018 8:35,1/20/2018 8:35,11.96,5.0188E+11,121
256,1/20/2018 9:56,1/20/2018 9:56,9.81,4.15984E+18,69
2445,1/20/2018 10:50,1/20/2018 10:50,2.17,4.71177E+15,113
729,1/20/2018 13:44,1/20/2018 13:44,1.83,5.0188E+11,119
1615,1/20/2018 16:31,1/20/2018 16:31,10.51,5.84227E+11,10
1320,1/20/2018 17:30,1/20/2018 17:30,13.84,4.50641E+15,109
193,1/20/2018 19:46,1/20/2018 19:46,8.03,4.26369E+15,8
1037,1/20/2018 20:11,1/20/2018 20:11,10.12,3.76028E+14,37
277,1/20/2018 21:29,1/20/2018 21:29,4.87,1.80099E+14,113
2537,1/20/2018 22:58,1/20/2018 22:58,16.44,6.50024E+15,18
1417,1/20/2018 23:29,1/20/2018 23:29,10.58,4.72378E+18,110
870,1/21/2018 0:03,1/21/2018 0:03,2.32,4.71177E+15,130
3006,1/21/2018 1:30,1/21/2018 1:30,20.29,5.13584E+15,136
132,1/21/2018 2:01,1/21/2018 2:01,8.61,5.17595E+15,37
2844,1/21/2018 5:38,1/21/2018 5:38,16.29,3.51695E+15,106
494,1/21/2018 6:47,1/21/2018 6:47,5.34,4.498E+12,85
1892,1/21/2018 13:18,1/21/2018 13:18,10.38,4.50641E+15,15
227,1/21/2018 15:37,1/21/2018 15:37,5.51,2.13194E+14,21
322,1/21/2018 16:05,1/21/2018 16:05,2.88,5.17595E+15,75
1492,1/21/2018 17:27,1/21/2018 17:27,10.28,5.01809E+11,148
1338,1/21/2018 20:28,1/21/2018 20:28,10.24,4.72378E+18,63
565,1/21/2018 23:04,1/21/2018 23:04,2.22,3.72415E+14,149
1704,1/22/2018 2:08,1/22/2018 2:08,10.38,4.6819E+12,98
1442,1/22/2018 8:07,1/22/2018 8:07,1131,5.5706E+15,144
2044,1/22/2018 11:52,1/22/2018 11:52,1.67,1.80099E+14,30
1057,1/22/2018 14:56,1/22/2018 14:56,10.75,5.5706E+15,117
1935,1/22/2018 16:26,1/22/2018 16:26,2.35,4.72378E+18,96
1364,1/22/2018 22:48,1/22/2018 22:48,11.63,6.01199E+15,150
1509,1/23/2018 1:51,1/23/2018 1:51,11.3,4.50641E+15,134
3499,1/23/2018 6:23,1/23/2018 6:23,2.67,3.51695E+15,51
2667,1/23/2018 6:29,1/23/2018 6:29,1678,5.0188E+11,92
1379,1/23/2018 8:07,1/23/2018 8:07,10.47,4.86676E+18,7
538,1/23/2018 8:18,1/23/2018 8:18,1.48,5.50071E+15,35
2070,1/23/2018 10:30,1/23/2018 10:30,4.34,4.02791E+15,110
110,1/23/2018 12:06,1/23/2018 12:06,6.38,5.13584E+15,94
2319,1/23/2018 16:13,1/23/2018 16:13,5.58,5.84227E+11,33
392,1/23/2018 18:14,1/23/2018 18:14,7.15,3.00633E+13,88
318,1/24/2018 1:31,1/24/2018 1:31,3.54,3.53565E+15,81
2212,1/24/2018 3:43,1/24/2018 3:43,2.78,3.58135E+15,68
263,1/24/2018 7:14,1/24/2018 7:14,5.56,5.50071E+15,36
1463,1/24/2018 7:55,1/24/2018 7:55,10.96,6.50024E+15,107
168,1/24/2018 8:28,1/24/2018 8:28,5,4.26849E+15,141
3196,1/24/2018 9:31,1/24/2018 9:31,15.22,3.76028E+14,83
942,1/24/2018 10:54,1/24/2018 10:54,10.69,3.00633E+13,2
3093,1/24/2018 12:41,1/24/2018 12:41,17.21,4.26849E+15,133
1231,1/24/2018 13:06,1/24/2018 13:06,13.39,3.0182E+13,91
2913,1/24/2018 13:17,1/24/2018 13:17,1691,4.76105E+18,14
3144,1/24/2018 14:45,1/24/2018 14:45,18.15,4.6819E+12,27
2973,1/24/2018 16:42,1/24/2018 16:42,18.59,3.56195E+15,90
2265,1/24/2018 23:15,1/24/2018 23:15,5.78,4.53999E+15,11
148,1/25/2018 0:52,1/25/2018 0:52,8.7,5.17595E+15,132
273,1/25/2018 7:41,1/25/2018 7:41,5.74,4.71177E+15,20
1502,1/25/2018 8:58,1/25/2018 8:58,11.35,3.76028E+14,141
178,1/25/2018 11:54,1/25/2018 11:54,6.4,5.50071E+15,72
1841,1/25/2018 14:38,1/25/2018 14:38,10.17,4.16531E+18,24
1252,1/25/2018 16:52,1/25/2018 16:52,10.1,3.0182E+13,80
2880,1/26/2018 5:10,1/26/2018 5:10,16.54,5.84227E+11,13
1758,1/26/2018 6:11,1/26/2018 6:11,10.12,3.56107E+15,124
938,1/26/2018 9:30,1/26/2018 9:30,10.76,4.498E+12,30
969,1/26/2018 11:32,1/26/2018 11:32,11.39,6.75911E+11,67
1730,1/26/2018 13:10,1/26/2018 13:10,11.95,2.13194E+14,11
2478,1/26/2018 14:06,1/26/2018 14:06,17.58,5.36178E+15,106
299,1/26/2018 20:32,1/26/2018 20:32,7,4.02791E+15,78
2454,1/26/2018 21:32,1/26/2018 21:32,17.08,4.7432E+18,81
103,1/27/2018 0:11,1/27/2018 0:11,5.87,3.4412E+14,64
3261,1/27/2018 0:56,1/27/2018 0:56,16.14,4.72378E+18,94
2636,1/27/2018 4:07,1/27/2018 4:07,18.58,4.53999E+15,49
3452,1/27/2018 8:24,1/27/2018 8:24,3.08,3.5822E+15,43
3284,1/27/2018 8:36,1/27/2018 8:36,15.15,6.50024E+15,71
639,1/27/2018 14:00,1/27/2018 14:00,1.88,6.50024E+15,35
2382,1/27/2018 18:02,1/27/2018 18:02,1.83,4.26849E+15,85
1495,1/27/2018 19:10,1/27/2018 19:10,11.93,2.13194E+14,45
142,1/27/2018 23:35,1/27/2018 23:35,6.12,4.27647E+12,135
1374,1/28/2018 5:11,1/28/2018 5:11,13.03,4.26849E+15,109
2978,1/28/2018 14:38,1/28/2018 14:38,19.93,3.51711E+15,71
911,1/28/2018 14:45,1/28/2018 14:45,10.71,5.13584E+15,77
2686,1/28/2018 17:01,1/28/2018 17:01,17.62,5.5706E+15,82
3280,1/28/2018 18:51,1/28/2018 18:51,18.64,6.50024E+15,147
744,1/28/2018 19:30,1/28/2018 19:30,0.72,6.01199E+15,36
231,1/28/2018 20:44,1/28/2018 20:44,6.52,4.2791E+18,44
2660,1/28/2018 21:41,1/28/2018 21:41,18.8,4.02791E+15,105
3168,1/29/2018 2:00,1/29/2018 2:00,18.65,4.498E+12,90
2852,1/29/2018 2:49,1/29/2018 2:49,18.19,4.72378E+18,40
549,1/29/2018 2:51,1/29/2018 2:51,3.68,3.56107E+15,140
2115,1/29/2018 5:15,1/29/2018 5:15,3.54,4.96292E+18,45
1914,1/29/2018 6:32,1/29/2018 6:32,10.24,3.51711E+15,49
536,1/29/2018 7:01,1/29/2018 7:01,2.65,4.15072E+15,5
681,1/29/2018 7:09,1/29/2018 7:09,2.46,4.72378E+18,138
1798,1/29/2018 11:06,1/29/2018 11:06,14.19,4.16531E+18,59
356,1/29/2018 11:52,1/29/2018 11:52,5.14,4.76105E+18,131
2014,1/29/2018 12:54,1/29/2018 12:54,3.93,4.7432E+18,142
2029,1/29/2018 13:38,1/29/2018 13:38,2.06,3.56107E+15,22
3365,1/29/2018 14:09,1/29/2018 14:09,2.37,5.13584E+15,92
2473,1/29/2018 17:25,1/29/2018 17:25,17.99,3.56107E+15,34
1020,1/29/2018 19:47,1/29/2018 19:47,10.25,5.17595E+15,91
2076,1/29/2018 22:49,1/29/2018 22:49,5.33,4.50641E+15,45
2664,1/29/2018 23:55,1/29/2018 23:55,16.73,5.84227E+11,10
1486,1/30/2018 2:32,1/30/2018 2:32,10.15,3.56107E+15,87
2177,1/30/2018 4:24,1/30/2018 4:24,2.72,3.0182E+13,133
2782,1/30/2018 4:52,1/30/2018 4:52,17.05,5.5706E+15,147
2646,1/30/2018 6:49,1/30/2018 6:49,15.97,4.2791E+18,82
1027,1/30/2018 9:15,1/30/2018 9:15,10.53,3.56107E+15,79
2047,1/30/2018 14:21,1/30/2018 14:21,2.86,3.53565E+15,32
2132,1/30/2018 14:21,1/30/2018 14:21,4.15,4.18816E+15,85
3205,1/30/2018 16:34,1/30/2018 16:34,16.91,3.51711E+15,112
26,1/30/2018 16:48,1/30/2018 16:48,4.04,3.76028E+14,74
1243,1/30/2018 17:53,1/30/2018 17:53,10.85,4.2791E+18,64
1415,1/30/2018 18:31,1/30/2018 18:31,1177,4.31965E+12,64
2186,1/30/2018 22:14,1/30/2018 22:14,3.65,4.15984E+18,102
3126,1/31/2018 0:51,1/31/2018 0:51,16.43,4.18816E+15,48
3310,1/31/2018 1:24,1/31/2018 1:24,15.99,4.15984E+18,105
1080,1/31/2018 2:09,1/31/2018 2:09,10.09,4.58696E+18,118
647,1/31/2018 5:46,1/31/2018 5:46,2.75,4.31965E+12,81
1729,1/31/2018 6:01,1/31/2018 6:01,10.28,4.50641E+15,26
1545,1/31/2018 9:42,1/31/2018 9:42,10.49,3.51711E+15,77
2219,1/31/2018 10:34,1/31/2018 10:34,4.17,5.84227E+11,78
2954,1/31/2018 11:06,1/31/2018 11:06,18.78,4.71177E+15,48
777,1/31/2018 13:17,1/31/2018 13:17,0.58,4.74104E+12,63
1405,1/31/2018 18:25,1/31/2018 18:25,11.25,4.2791E+18,127
3286,1/31/2018 23:44,1/31/2018 23:44,16.02,4.50641E+15,44
1657,2/1/2018 8:49,2/1/2018 8:49,10.26,4.72378E+18,115
45,2/1/2018 9:29,2/1/2018 9:29,6.3,4.53999E+15,116
1024,2/1/2018 11:05,2/1/2018 11:05,10.49,4.74104E+12,138
899,2/1/2018 11:15,2/1/2018 11:15,10.65,4.2791E+18,65
1279,2/1/2018 18:37,2/1/2018 18:37,10.27,4.15072E+15,145
989,2/1/2018 20:33,2/1/2018 20:33,11.62,3.5822E+15,4
1516,2/1/2018 20:44,2/1/2018 20:44,10.24,3.51711E+15,51
2150,2/1/2018 21:52,2/1/2018 21:52,1.54,4.7432E+18,43
2793,2/2/2018 3:11,2/2/2018 3:11,15.95,4.83448E+15,27
2776,2/2/2018 10:56,2/2/2018 10:56,15.52,4.64401E+18,95
1360,2/2/2018 11:31,2/2/2018 11:31,10.75,3.72415E+14,135
2638,2/2/2018 16:57,2/2/2018 16:57,15.27,4.6819E+12,53
3491,2/2/2018 17:43,2/2/2018 17:43,2.17,5.50071E+15,64
1752,2/2/2018 17:56,2/2/2018 17:56,10.15,5.01809E+11,127
2456,2/2/2018 18:46,2/2/2018 18:46,18.64,4.74104E+12,148
13,2/2/2018 21:41,2/2/2018 21:41,4.29,6.50024E+15,148
248,2/3/2018 3:04,2/3/2018 3:04,5.24,3.5822E+15,83
1715,2/3/2018 6:57,2/3/2018 6:57,12.39,5.5706E+15,69
2245,2/3/2018 7:45,2/3/2018 7:45,4.53,5.5706E+15,80
1701,2/3/2018 12:53,2/3/2018 12:53,10.23,4.76105E+18,95
488,2/3/2018 14:33,2/3/2018 14:33,7.05,3.0182E+13,3
638,2/3/2018 15:45,2/3/2018 15:45,1.17,3.51695E+15,19
2719,2/3/2018 16:27,2/3/2018 16:27,15.98,4.72378E+18,114
3181,2/3/2018 16:34,2/3/2018 16:34,18.53,3.56107E+15,86
3395,2/3/2018 18:05,2/3/2018 18:05,1.41,4.86676E+18,65
1435,2/3/2018 18:48,2/3/2018 18:48,13.01,3.0182E+13,75
3216,2/3/2018 19:32,2/3/2018 19:32,17.94,3.51695E+15,104
2389,2/4/2018 2:22,2/4/2018 2:22,4.79,3.00633E+13,27
11,2/4/2018 4:00,2/4/2018 4:00,6.9,6.50024E+15,125
2011,2/4/2018 9:22,2/4/2018 9:22,2.41,2.13194E+14,94
1996,2/4/2018 16:13,2/4/2018 16:13,2.92,5.36178E+15,4
1981,2/4/2018 18:44,2/4/2018 18:44,2.68,4.74104E+12,104
810,2/4/2018 19:02,2/4/2018 19:02,0.51,3.56195E+15,75
3281,2/4/2018 20:48,2/4/2018 20:48,18.11,4.53999E+15,98
2256,2/4/2018 22:25,2/4/2018 22:25,5.94,4.26849E+15,43
1505,2/5/2018 3:47,2/5/2018 3:47,10.27,4.26849E+15,17
2688,2/5/2018 8:37,2/5/2018 8:37,17.85,1.80099E+14,1
3063,2/5/2018 9:39,2/5/2018 9:39,15.73,5.03843E+11,75
2086,2/5/2018 15:54,2/5/2018 15:54,1.52,3.00633E+13,145
1740,2/5/2018 17:32,2/5/2018 17:32,10.58,3.0182E+13,39
3237,2/5/2018 17:36,2/5/2018 17:36,17.7,3.53565E+15,50
607,2/5/2018 19:19,2/5/2018 19:19,2.09,4.53999E+15,87
1270,2/5/2018 19:35,2/5/2018 19:35,10.08,5.0188E+11,52
1281,2/5/2018 20:08,2/5/2018 20:08,10.92,4.02791E+15,34
3297,2/5/2018 20:43,2/5/2018 20:43,17.61,1.80099E+14,35
881,2/5/2018 21:59,2/5/2018 21:59,10.81,3.72415E+14,65
1819,2/5/2018 23:22,2/5/2018 23:22,10.96,4.15984E+18,67
1079,2/6/2018 4:34,2/6/2018 4:34,10.86,4.58696E+18,132
3494,2/6/2018 10:55,2/6/2018 10:55,2.49,4.76105E+18,100
372,2/6/2018 10:58,2/6/2018 10:58,4.83,3.76028E+14,72
611,2/6/2018 18:29,2/6/2018 18:29,2.53,3.56107E+15,102
1998,2/6/2018 20:53,2/6/2018 20:53,4.58,1.80099E+14,9
